coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate2,fpco2,rate,gross
CNSB2,280_28_1,28,280_28,302.69,28,pre,S,B,N,10.862,0.013,total,0,280,1.637,1.362765069
CNSB20,2800_31_1,30.9,2800_31,3258.29,31,ext,S,B,N,6.394,6.00E-03,total,0,2800,0.799,1.043657377
CNSB3,400_31_1,31.1,400_31,434.02,31,cur,S,B,N,11.577,7.00E-03,total,0,400,1.014,1.051140697
CNSB5,700_31_1,30.9,700_31,666.85,31,eoc,S,B,N,11.107,0.01,total,0,700,1.105,1.075693295
CNSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,N,10.674,8.00E-03,total,0,700,0.953,1.057137887
CNSB7,400_28_1,28,400_28,408.25,28,cur,S,B,N,12.183,7.00E-03,total,0,400,1.232,1.176054649
CNSB8,2800_28_1,28.1,2800_28,3369.78,28,ext,S,B,N,9.859,0.01,total,0,2800,0.695,1.203993322
CNSC13,400_28_2,28.1,400_28,400.02,28,cur,S,C,N,5.035,NA,total,0,400,0.208,0.520730059
CNSC3,400_31_2,31.1,400_31,447.02,31,cur,S,C,N,7.851,5.00E-03,total,0,400,0.938,0.978157106
CNSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,N,9.474,7.00E-03,total,0,700,1.172,1.096655906
CNSC6,700_28_2,28.1,700_28,707.17,28,eoc,S,C,N,10.399,0.01,total,0,700,1.137,1.065433974
